REV	MU_E	MU_T	TAU_E	TAU_T	GAIN	OFFSET	FLAG_MU_E	FLAG_MU_T	FLAG_TAU_E	FLAG_TAU_T	FLAG_GAIN	FLAG_OFFSET
117	857.8829133450304	54.82963538580545	1.42565845809792e-06	6.07445786099686e-06	8.077544426494347	-6.026585381972263	0	0	0	0	0	0	
118	855.1884991180364	55.67720912413079	1.40207172984026e-06	6.0858688636045e-06	8.077544426494347	-6.1704238952212	0	0	0	0	0	0	
119	854.0936512328733	55.25369966088936	1.41009784381099e-06	5.92949365460979e-06	8.077544426494347	-6.245091250925733	0	0	0	0	0	0	
120	857.6072656147024	56.71651211403097	1.38834238986411e-06	5.73173634654816e-06	8.077544426494347	-6.169956974270959	0	0	0	0	0	0	
121	852.3219055736554	55.44345950003831	1.3857527307703e-06	5.90271679901514e-06	8.077544426494347	-5.712025007241216	0	0	0	0	0	0	
122	858.5066331159246	56.18548584652336	1.37140137785718e-06	5.83265440356196e-06	8.077544426494347	-6.134258694740279	0	0	0	0	0	0	
123	859.9219772608867	57.69364391834561	1.34682350172027e-06	5.855479974153e-06	8.077544426494347	-5.628029215670308	0	0	1	0	0	0	
124	871.0118533802413	57.99195960671089	1.40653723604566e-06	6.06625160444668e-06	8.077544426494347	-6.517104205201091	0	0	0	0	0	0	
125	890.7900150383983	58.95820588020028	1.33207944473476e-06	6.00639601532252e-06	8.077544426494347	-6.278659356555297	1	0	1	0	0	0	
126	865.014622250458	57.37310167907273	1.39811728257092e-06	5.98146845983289e-06	8.077544426494347	-7.040127596671301	0	0	0	0	0	0	
127	952.8940916558046	68.45818475156956	1.71770341030176e-06	7.98788393348491e-06	8.077544426494347	-8.592516427089542	1	1	1	1	0	1	
128	861.5316627723014	58.19365207061918	1.43791022341556e-06	7.36431850962023e-06	8.077544426494347	-6.746136694662113	0	0	0	1	0	0	
130	889.0958301388333	57.89628780542859	1.2698863741118e-06	5.89180500715628e-06	8.077544426494347	-5.752184148387211	0	0	1	0	0	0	
131	853.8346474435392	57.27065124261109	1.29785546866164e-06	6.003121497427e-06	8.077544426494347	-6.004013750431704	0	0	1	0	0	0	
132	869.6674117283778	57.50947565951095	1.3257947695345e-06	5.97257788522818e-06	8.077544426494347	-6.482671673292516	0	0	0	0	0	0	
133	871.6230351754521	58.88593424651278	1.28979123673182e-06	5.65593156159959e-06	8.077544426494347	-6.005419798487094	0	0	1	1	0	0	
134	856.2721839168948	55.42578164535026	1.26278641165454e-06	5.73575571757164e-06	8.077544426494347	-6.157160759021585	0	0	1	0	0	0	
135	864.4582189906648	55.01526981059556	1.27016445366987e-06	5.8465854304957e-06	8.077544426494347	-6.405381375665725	0	0	1	0	0	0	
136	870.4772467370748	57.56300830905549	1.33552962231209e-06	5.94949744896526e-06	8.077544426494347	-8.090133643173143	0	0	0	0	0	1	
